step	epoch
0	0.01
1	0.01
2	0.02
3	0.03
4	0.03
5	0.04
6	0.05
7	0.05
8	0.06
9	0.07
10	0.07
11	0.08
12	0.09
13	0.09
14	0.1
15	0.11
16	0.11
17	0.12
18	0.13
19	0.13
20	0.14
21	0.15
22	0.15
23	0.16
24	0.17
25	0.17
26	0.18
27	0.19
28	0.19
29	0.2
30	0.21
31	0.21
32	0.22
33	0.23
34	0.23
35	0.24
36	0.25
37	0.25
38	0.26
39	0.27
40	0.27
41	0.28
42	0.29
43	0.29
44	0.3
45	0.31
46	0.31
47	0.32
48	0.33
49	0.33
50	0.34
51	0.35
52	0.35
53	0.36
54	0.37
55	0.37
56	0.38
57	0.39
58	0.39
59	0.4
60	0.41
61	0.41
62	0.42
63	0.43
64	0.43
65	0.44
66	0.45
67	0.45
68	0.46
69	0.47
70	0.47
71	0.48
72	0.49
73	0.49
74	0.5
75	0.51
76	0.51
77	0.52
78	0.53
79	0.53
80	0.54
81	0.55
82	0.55
83	0.56
84	0.57
85	0.57
86	0.58
87	0.59
88	0.59
89	0.6
90	0.61
91	0.61
92	0.62
93	0.63
94	0.63
95	0.64
96	0.65
97	0.65
98	0.66
99	0.67
100	0.67
101	0.68
102	0.69
103	0.69
104	0.7
105	0.71
106	0.71
107	0.72
108	0.73
109	0.73
110	0.74
111	0.75
112	0.75
113	0.76
114	0.77
115	0.77
116	0.78
117	0.79
118	0.79
119	0.8
120	0.81
121	0.81
122	0.82
123	0.83
124	0.83
125	0.84
126	0.85
127	0.85
128	0.86
129	0.87
130	0.87
131	0.88
132	0.89
133	0.89
134	0.9
135	0.91
136	0.91
137	0.92
138	0.93
139	0.93
140	0.94
141	0.95
142	0.95
143	0.96
144	0.97
145	0.97
146	0.98
147	0.99
148	0.99
149	1.0
150	1.0
